NodeIndex,PredictedRiskScore
368,2.135896
369,2.1311715
370,2.124979
371,2.117399
372,2.1086867
373,2.098586
374,2.0873199
375,2.0750556
376,2.0621097
377,2.0484583
378,2.0344248
379,2.0202937
380,2.006366
381,1.992876
382,1.9800903
383,1.968281
384,1.9575636
385,1.9479561
386,1.9393375
387,1.931219
388,1.9225128
389,1.9120218
390,1.8988817
391,1.8836372
392,1.8675879
393,1.8522556
394,1.8382874
395,1.8259311
396,1.81509
397,1.8062778
398,1.799484
399,1.7948261
400,1.7914381
401,1.7886872
402,1.7859378
403,1.7831447
404,1.7816172
405,1.7826635
406,1.7872527
407,1.7941442
408,1.8017514
409,1.807374
410,1.8091002
411,1.8058288
412,1.7991384
413,1.7910374
414,1.7831101
415,1.7759467
416,1.7698764
417,1.7656882
418,1.7634777
419,1.7634525
420,1.7648385
421,1.7676632
422,1.7724822
423,1.7802291
424,1.7909319
425,1.8034503
426,1.8171244
427,1.8317654
428,1.8477628
429,1.8646848
430,1.8820596
431,1.8994224
432,1.9167547
433,1.934061
434,1.9513454
435,1.9687088
436,1.9862831
437,2.0041995
438,2.0223968
439,2.0407507
440,2.0591362
441,2.0775251
442,2.0959191
443,2.1123648
444,2.1245072
445,2.1299918
446,2.1304338
447,2.1293125
448,2.1301064
449,2.1342192
450,2.1405256
451,2.1479023
452,2.1552856
453,2.1626782
454,2.1700828
455,2.1775017
456,2.1844425
457,2.1914542
458,2.1992867
459,2.2096732
460,2.2222612
461,2.2362912
462,2.2505178
463,2.264742
464,2.278972
465,2.2933526
466,2.3083408
467,2.324298
468,2.3408582
469,2.3571506
470,2.3725364
471,2.3875043
472,2.4027202
473,2.4186594
474,2.4352217
475,2.4524088
476,2.470348
477,2.4891498
478,2.5086546
479,2.5288596
480,2.5498812
481,2.572013
482,2.5938265
483,2.613864
484,2.6309245
485,2.646406
486,2.6612232
487,2.6726525
488,2.6769176
489,2.6711164
490,2.6589813
491,2.6437316
492,2.6269035
493,2.6067364
494,2.5823827
495,2.5552497
496,2.5266774
497,2.4973872
498,2.467254
499,2.4365585
500,2.4060133
501,2.3763082
502,2.3477464
503,2.3202257
504,2.2934058
505,2.2668507
506,2.2405138
507,2.2146556
508,2.1899695
509,2.1669207
510,2.1456096
511,2.1256862
512,2.1068182
513,2.0890074
514,2.072535
515,2.057574
516,2.04392
517,2.0314398
518,2.0199146
519,2.0079947
520,1.9940209
521,1.9765058
522,1.9564114
523,1.9349444
524,1.9135159
525,1.8924823
526,1.8720255
527,1.8520947
528,1.833003
529,1.815191
530,1.799376
531,1.7862568
532,1.776483
533,1.7700644
534,1.7657629
535,1.7627106
536,1.7607034
537,1.7603831
538,1.7617044
539,1.7642962
540,1.7677984
541,1.7725978
542,1.7788513
543,1.7865746
544,1.7947907
545,1.8027654
546,1.8092649
547,1.8136697
548,1.8153855
549,1.8151946
550,1.8140807
551,1.812883
552,1.8108964
553,1.8070694
554,1.8012713
555,1.7944906
556,1.7876415
557,1.7804956
558,1.7723012
559,1.7622745
560,1.749574
561,1.7344929
562,1.7183291
563,1.702985
564,1.6895406
565,1.678031
566,1.6683896
567,1.6600692
568,1.653228
569,1.6478124
570,1.6443038
571,1.6423136
572,1.6416309
573,1.6414535
574,1.6408169
575,1.638034
576,1.6318668
577,1.6223924
578,1.6109453
579,1.5987648
580,1.5856613
581,1.5710292
582,1.5547737
583,1.5384147
584,1.5232381
585,1.5098789
586,1.4973648
587,1.4846267
588,1.4709313
589,1.4566243
590,1.4422326
591,1.4278715
592,1.4133002
593,1.3982787
594,1.3832779
595,1.3688769
596,1.3557482
597,1.3438823
598,1.333291
599,1.3237389
600,1.3154804
601,1.3074974
602,1.300157
603,1.2935432
604,1.2886007
605,1.2847718
606,1.2814288
607,1.2782314
608,1.2752471
609,1.2721025
610,1.2685379
611,1.2641633
612,1.2595841
613,1.2553674
614,1.2518497
615,1.2486339
616,1.2454889
