NodeIndex,PredictedRiskScore
1927,1.8065186
1928,1.8148158
1929,1.8244069
1930,1.8359876
1931,1.8490534
1932,1.8633113
1933,1.8783671
1934,1.8935995
1935,1.9075353
1936,1.9183128
1937,1.9257295
1938,1.9305502
1939,1.9342527
1940,1.9371691
1941,1.9391692
1942,1.9396396
1943,1.9387159
1944,1.9368297
1945,1.9345796
1946,1.9320457
1947,1.9290831
1948,1.9258018
1949,1.9225366
1950,1.9197199
1951,1.9177072
1952,1.9165416
1953,1.9163426
1954,1.9170271
1955,1.9187806
1956,1.9217491
1957,1.9259385
1958,1.9311426
1959,1.9368387
1960,1.9427776
1961,1.9488416
1962,1.9551
1963,1.96147
1964,1.9679031
1965,1.9743048
1966,1.9805961
1967,1.9866729
1968,1.9926538
1969,1.9984587
1970,2.003837
1971,2.0084834
1972,2.0125504
1973,2.0165179
1974,2.0204444
1975,2.0240498
1976,2.0266736
1977,2.0282218
1978,2.028803
1979,2.0287955
1980,2.028535
1981,2.0283315
1982,2.0284529
1983,2.0291626
1984,2.0307217
1985,2.0333483
1986,2.0369203
1987,2.0411668
1988,2.0459974
1989,2.051288
1990,2.057028
1991,2.0629125
1992,2.0688167
1993,2.0745363
1994,2.079963
1995,2.085191
1996,2.0904481
1997,2.0959284
1998,2.1013172
1999,2.105839
2000,2.1088114
2001,2.1096175
2002,2.108274
2003,2.1047423
2004,2.0994813
2005,2.0930245
2006,2.0861573
2007,2.0797346
2008,2.0742798
2009,2.0700288
2010,2.066858
2011,2.064817
2012,2.064056
2013,2.0648978
2014,2.0674129
2015,2.071486
2016,2.0764844
2017,2.0815897
2018,2.0861394
2019,2.090105
2020,2.0936544
2021,2.096397
2022,2.0979471
2023,2.0981154
2024,2.0976005
2025,2.0965042
2026,2.094705
2027,2.0919373
2028,2.0883284
2029,2.0843434
2030,2.0805333
2031,2.0774508
2032,2.0752125
2033,2.073527
2034,2.0721462
2035,2.0710044
2036,2.0699635
2037,2.0686898
2038,2.0669713
2039,2.064794
2040,2.0617337
2041,2.0574465
2042,2.0517967
2043,2.0455751
2044,2.0390627
2045,2.0322452
2046,2.0248694
2047,2.0171533
2048,2.009492
2049,2.0021677
2050,1.9953669
2051,1.9891479
2052,1.983484
2053,1.9782275
2054,1.9730954
2055,1.9678769
2056,1.9627196
2057,1.9581766
2058,1.954728
2059,1.9522483
2060,1.9504683
2061,1.9491698
2062,1.9485254
2063,1.9484243
2064,1.9487169
2065,1.9491181
2066,1.9498007
